------------------------------------------------------------
 Model:        del_Med
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
    41.3589   16.1972     01.16.2019 21:00:00     0.015     5.000
    41.3589   16.1972     01.16.2019 22:00:00     0.070     5.000
    41.3589   16.1972     01.16.2019 23:00:00     0.113     5.000
    41.3589   16.1972     01.17.2019 00:00:00     0.134     5.000
    41.3589   16.1972     01.17.2019 01:00:00     0.130     5.000
    41.3589   16.1972     01.17.2019 02:00:00     0.103     5.000
    41.3589   16.1972     01.17.2019 03:00:00     0.059     5.000
    41.3589   16.1972     01.17.2019 04:00:00     0.009     5.000
    41.3589   16.1972     01.17.2019 05:00:00    -0.034     5.000
    41.3589   16.1972     01.17.2019 06:00:00    -0.061     5.000
    41.3589   16.1972     01.17.2019 07:00:00    -0.066     5.000
    41.3589   16.1972     01.17.2019 08:00:00    -0.051     5.000
    41.3589   16.1972     01.17.2019 09:00:00    -0.020     5.000
    41.3589   16.1972     01.17.2019 10:00:00     0.015     5.000
    41.3589   16.1972     01.17.2019 11:00:00     0.044     5.000
    41.3589   16.1972     01.17.2019 12:00:00     0.056     5.000
    41.3589   16.1972     01.17.2019 13:00:00     0.045     5.000
    41.3589   16.1972     01.17.2019 14:00:00     0.013     5.000
    41.3589   16.1972     01.17.2019 15:00:00    -0.034     5.000
    41.3589   16.1972     01.17.2019 16:00:00    -0.085     5.000
    41.3589   16.1972     01.17.2019 17:00:00    -0.126     5.000
    41.3589   16.1972     01.17.2019 18:00:00    -0.145     5.000
    41.3589   16.1972     01.17.2019 19:00:00    -0.135     5.000
    41.3589   16.1972     01.17.2019 20:00:00    -0.096     5.000
    41.3589   16.1972     01.17.2019 21:00:00    -0.034     5.000
    41.3589   16.1972     01.17.2019 22:00:00     0.040     5.000
    41.3589   16.1972     01.17.2019 23:00:00     0.108     5.000
    41.3589   16.1972     01.18.2019 00:00:00     0.157     5.000
    41.3589   16.1972     01.18.2019 01:00:00     0.176     5.000
    41.3589   16.1972     01.18.2019 02:00:00     0.161     5.000
    41.3589   16.1972     01.18.2019 03:00:00     0.117     5.000
    41.3589   16.1972     01.18.2019 04:00:00     0.054     5.000
